image_path,mask_path
/home/huy/quan_nguyen/aima/pancrea_cyst/data/images/EMC024.nii.gz,/home/huy/quan_nguyen/aima/pancrea_cyst/data/masks/cyst_emc_024.nii.gz
/home/huy/quan_nguyen/aima/pancrea_cyst/data/images/IU9.nii.gz,/home/huy/quan_nguyen/aima/pancrea_cyst/data/masks/cyst_iu_9.nii.gz
/home/huy/quan_nguyen/aima/pancrea_cyst/data/images/EMC092.nii.gz,/home/huy/quan_nguyen/aima/pancrea_cyst/data/masks/cyst_emc_092.nii.gz
/home/huy/quan_nguyen/aima/pancrea_cyst/data/images/NU51.nii.gz,/home/huy/quan_nguyen/aima/pancrea_cyst/data/masks/cyst_nu_51.nii.gz
/home/huy/quan_nguyen/aima/pancrea_cyst/data/images/NYU0075.nii.gz,/home/huy/quan_nguyen/aima/pancrea_cyst/data/masks/cyst_nyu_0075.nii.gz
/home/huy/quan_nguyen/aima/pancrea_cyst/data/images/NYU0069.nii.gz,/home/huy/quan_nguyen/aima/pancrea_cyst/data/masks/cyst_nyu_0069.nii.gz
/home/huy/quan_nguyen/aima/pancrea_cyst/data/images/NU101.nii.gz,/home/huy/quan_nguyen/aima/pancrea_cyst/data/masks/cyst_nu_101.nii.gz
/home/huy/quan_nguyen/aima/pancrea_cyst/data/images/MCF10.nii.gz,/home/huy/quan_nguyen/aima/pancrea_cyst/data/masks/cyst_mcf_10.nii.gz
/home/huy/quan_nguyen/aima/pancrea_cyst/data/images/MCA22.nii.gz,/home/huy/quan_nguyen/aima/pancrea_cyst/data/masks/cyst_mca_22.nii.gz
/home/huy/quan_nguyen/aima/pancrea_cyst/data/images/IU19.nii.gz,/home/huy/quan_nguyen/aima/pancrea_cyst/data/masks/cyst_iu_19.nii.gz
/home/huy/quan_nguyen/aima/pancrea_cyst/data/images/NU127.nii.gz,/home/huy/quan_nguyen/aima/pancrea_cyst/data/masks/cyst_nu_127.nii.gz
/home/huy/quan_nguyen/aima/pancrea_cyst/data/images/CAD182.nii.gz,/home/huy/quan_nguyen/aima/pancrea_cyst/data/masks/cyst_cad_182.nii.gz
/home/huy/quan_nguyen/aima/pancrea_cyst/data/images/NU131.nii.gz,/home/huy/quan_nguyen/aima/pancrea_cyst/data/masks/cyst_nu_131.nii.gz
/home/huy/quan_nguyen/aima/pancrea_cyst/data/images/CAD152.nii.gz,/home/huy/quan_nguyen/aima/pancrea_cyst/data/masks/cyst_cad_152.nii.gz
/home/huy/quan_nguyen/aima/pancrea_cyst/data/images/CAD155.nii.gz,/home/huy/quan_nguyen/aima/pancrea_cyst/data/masks/cyst_cad_155.nii.gz
/home/huy/quan_nguyen/aima/pancrea_cyst/data/images/CAD118.nii.gz,/home/huy/quan_nguyen/aima/pancrea_cyst/data/masks/cyst_cad_118.nii.gz
/home/huy/quan_nguyen/aima/pancrea_cyst/data/images/CAD252.nii.gz,/home/huy/quan_nguyen/aima/pancrea_cyst/data/masks/cyst_cad_252.nii.gz
/home/huy/quan_nguyen/aima/pancrea_cyst/data/images/NU98.nii.gz,/home/huy/quan_nguyen/aima/pancrea_cyst/data/masks/cyst_nu_98.nii.gz
/home/huy/quan_nguyen/aima/pancrea_cyst/data/images/MCA140.nii.gz,/home/huy/quan_nguyen/aima/pancrea_cyst/data/masks/cyst_mca_140.nii.gz
/home/huy/quan_nguyen/aima/pancrea_cyst/data/images/NYU0039.nii.gz,/home/huy/quan_nguyen/aima/pancrea_cyst/data/masks/cyst_nyu_0039.nii.gz
/home/huy/quan_nguyen/aima/pancrea_cyst/data/images/CAD153.nii.gz,/home/huy/quan_nguyen/aima/pancrea_cyst/data/masks/cyst_cad_153.nii.gz
/home/huy/quan_nguyen/aima/pancrea_cyst/data/images/CAD315.nii.gz,/home/huy/quan_nguyen/aima/pancrea_cyst/data/masks/cyst_cad_315.nii.gz
/home/huy/quan_nguyen/aima/pancrea_cyst/data/images/EMC007.nii.gz,/home/huy/quan_nguyen/aima/pancrea_cyst/data/masks/cyst_emc_007.nii.gz
/home/huy/quan_nguyen/aima/pancrea_cyst/data/images/EMC036.nii.gz,/home/huy/quan_nguyen/aima/pancrea_cyst/data/masks/cyst_emc_036.nii.gz
/home/huy/quan_nguyen/aima/pancrea_cyst/data/images/NU117.nii.gz,/home/huy/quan_nguyen/aima/pancrea_cyst/data/masks/cyst_nu_117.nii.gz
/home/huy/quan_nguyen/aima/pancrea_cyst/data/images/NU18.nii.gz,/home/huy/quan_nguyen/aima/pancrea_cyst/data/masks/cyst_nu_18.nii.gz
/home/huy/quan_nguyen/aima/pancrea_cyst/data/images/EMC021.nii.gz,/home/huy/quan_nguyen/aima/pancrea_cyst/data/masks/cyst_emc_021.nii.gz
/home/huy/quan_nguyen/aima/pancrea_cyst/data/images/IU23.nii.gz,/home/huy/quan_nguyen/aima/pancrea_cyst/data/masks/cyst_iu_23.nii.gz
/home/huy/quan_nguyen/aima/pancrea_cyst/data/images/IU72.nii.gz,/home/huy/quan_nguyen/aima/pancrea_cyst/data/masks/cyst_iu_72.nii.gz
/home/huy/quan_nguyen/aima/pancrea_cyst/data/images/NYU0150.nii.gz,/home/huy/quan_nguyen/aima/pancrea_cyst/data/masks/cyst_nyu_0150.nii.gz
